Frequency (Hz)	Level (dB)
10249.804688	-42.542416
10292.871094	-40.556911
10335.937500	-39.679901
10379.003906	-39.017002
10422.070312	-39.695133
10465.136719	-39.608280
10508.203125	-40.484142
10551.269531	-41.093647
10594.335938	-40.578598
10637.402344	-41.346531
10680.468750	-42.832466
10723.535156	-44.967751
10766.601562	-45.059525
10809.667969	-47.126869
10852.734375	-47.946178
10895.800781	-46.941193
10938.867188	-46.628925
10981.933594	-44.585865
11025.000000	-42.579182
11068.066406	-40.891571
11111.132812	-40.447933
11154.199219	-40.792606
11197.265625	-41.102303
11240.332031	-41.059212
11283.398438	-41.776447
11326.464844	-42.738148
11369.531250	-44.324760
11412.597656	-45.266487
11455.664062	-45.278133
11498.730469	-43.608868
11541.796875	-44.408985
11584.863281	-45.043022
11627.929688	-46.600815
11670.996094	-49.706940
11714.062500	-51.447975
11757.128906	-52.182034
11800.195312	-50.492710
11843.261719	-49.909134
11886.328125	-48.299305
11929.394531	-47.935673
11972.460938	-47.211979
12015.527344	-48.875751
12058.593750	-50.793293
12101.660156	-48.559864
12144.726562	-47.847866
12187.792969	-45.284817
12230.859375	-42.331810
12273.925781	-43.346340
12316.992188	-45.867161
12360.058594	-45.559113
12403.125000	-45.990345
12446.191406	-46.859303
12489.257812	-47.193710
12532.324219	-47.597054
12575.390625	-47.605175
12618.457031	-46.643658
12661.523438	-47.444508
12704.589844	-47.386314
12747.656250	-46.652828
12790.722656	-48.181053
12833.789062	-49.149303
12876.855469	-47.984802
12919.921875	-47.626774
12962.988281	-49.298702
13006.054688	-49.189079
13049.121094	-48.379364
13092.187500	-49.133675
13135.253906	-50.038742
13178.320312	-49.573284
13221.386719	-48.699093
13264.453125	-48.220749
13307.519531	-47.531956
13350.585938	-47.441620
13393.652344	-45.631004
13436.718750	-44.930691
13479.785156	-45.316025
13522.851562	-45.777676
13565.917969	-46.262554
13608.984375	-46.642651
13652.050781	-47.564373
13695.117188	-49.773010
13738.183594	-51.995129
13781.250000	-52.769623
13824.316406	-53.144131
13867.382812	-53.609589
13910.449219	-55.099960
13953.515625	-56.211811
13996.582031	-55.637806
14039.648438	-54.133904
14082.714844	-52.536720
14125.781250	-52.170712
14168.847656	-52.479897
14211.914062	-52.111172
14254.980469	-50.448799
14298.046875	-48.895542
14341.113281	-48.014637
14384.179688	-48.421494
14427.246094	-50.573215
14470.312500	-52.225334
14513.378906	-56.201508
14556.445312	-54.131695
14599.511719	-53.359772
14642.578125	-55.714767
14685.644531	-54.999229
14728.710938	-54.762421
14771.777344	-55.477158
14814.843750	-55.436977
14857.910156	-54.902824
14900.976562	-55.846939
14944.042969	-55.735649
14987.109375	-54.740944
15030.175781	-55.391617
15073.242188	-55.407574
15116.308594	-54.107929
15159.375000	-53.106880
15202.441406	-52.474281
15245.507812	-51.150299
15288.574219	-50.831322
15331.640625	-52.064034
15374.707031	-55.161819
15417.773438	-56.997700
15460.839844	-55.614746
15503.906250	-53.360600
15546.972656	-52.834820
15590.039062	-53.145882
15633.105469	-54.597584
15676.171875	-57.182568
15719.238281	-58.037807
15762.304688	-57.607510
15805.371094	-56.980530
15848.437500	-56.111740
15891.503906	-55.672329
15934.570312	-56.231720
15977.636719	-55.708664
16020.703125	-56.323410
16063.769531	-56.096409
16106.835938	-53.483116
16149.902344	-54.465969
16192.968750	-58.975700
16236.035156	-54.106861
16279.101562	-52.312004
16322.167969	-54.734333
16365.234375	-55.450043
16408.300781	-55.185516
16451.367188	-54.727959
16494.433594	-55.652084
16537.500000	-58.646099
16580.566406	-60.845562
16623.632812	-61.466488
16666.699219	-61.009212
16709.765625	-60.795231
16752.832031	-57.242371
16795.898438	-53.831913
16838.964844	-52.727879
16882.031250	-52.463116
16925.097656	-54.487614
16968.164062	-56.241344
17011.230469	-56.048641
17054.296875	-56.443756
17097.363281	-57.327862
17140.429688	-58.001366
17183.496094	-57.720203
17226.562500	-59.549946
17269.628906	-58.950424
17312.695312	-55.209614
17355.761719	-52.864689
17398.828125	-51.521893
17441.894531	-50.884342
17484.960938	-51.422760
17528.027344	-54.261528
17571.093750	-52.270363
17614.160156	-50.840988
17657.226562	-53.888458
17700.292969	-57.543961
17743.359375	-59.110832
17786.425781	-58.817619
17829.492188	-56.958267
17872.558594	-57.589581
17915.625000	-61.126675
17958.691406	-59.126373
18001.757812	-56.505371
18044.824219	-54.784309
18087.890625	-53.846657
18130.957031	-55.011734
18174.023438	-54.393166
18217.089844	-53.787422
18260.156250	-53.251083
18303.222656	-51.955906
18346.289062	-50.808754
18389.355469	-51.147934
18432.421875	-53.231777
18475.488281	-53.094311
18518.554688	-50.281322
18561.621094	-49.778088
18604.687500	-48.591221
18647.753906	-48.986446
18690.820312	-48.477940
18733.886719	-46.293346
18776.953125	-46.530174
18820.019531	-47.185356
18863.085938	-48.271122
18906.152344	-49.472683
18949.218750	-51.119831
18992.285156	-53.905392
19035.351562	-55.912632
19078.417969	-56.515289
19121.484375	-58.400391
19164.550781	-59.345924
19207.617188	-63.445473
19250.683594	-60.332706
19293.750000	-55.207439
19336.816406	-55.133503
19379.882812	-55.880833
19422.949219	-53.791225
19466.015625	-52.493176
19509.082031	-52.725853
19552.148438	-53.604790
19595.214844	-53.757320
19638.281250	-52.594826
19681.347656	-52.838951
19724.414062	-53.830345
19767.480469	-52.859943
19810.546875	-51.425983
19853.613281	-51.447033
19896.679688	-52.812000
19939.746094	-54.664818
19982.812500	-56.543686
20025.878906	-58.723244
20068.945312	-61.294220
20112.011719	-64.824905
20155.078125	-70.386200
20198.144531	-78.568230
20241.210938	-89.050285
20284.277344	-101.667366
20327.343750	-120.191551
20370.410156	-128.569000
20413.476562	-131.428482
20456.542969	-136.301544
20499.609375	-136.966293
20542.675781	-135.441116
20585.742188	-138.542221
20628.808594	-136.562149
20671.875000	-137.420517
20714.941406	-139.108002
20758.007812	-138.598709
20801.074219	-138.718048
20844.140625	-140.951813
20887.207031	-142.237183
20930.273438	-142.455811
20973.339844	-142.383240
21016.406250	-140.821228
21059.472656	-140.754929
21102.539062	-139.717468
21145.605469	-139.245102
21188.671875	-138.630478
21231.738281	-138.077667
21274.804688	-137.057571
21317.871094	-137.079086
21360.937500	-138.199936
21404.003906	-141.899689
21447.070312	-143.364624
21490.136719	-141.224792
21533.203125	-140.703568
21576.269531	-141.072754
21619.335938	-143.035553
21662.402344	-142.300385
21705.468750	-140.897369
21748.535156	-142.198990
21791.601562	-143.533920
21834.667969	-144.116653
21877.734375	-143.709076
21920.800781	-140.899734
21963.867188	-139.775925
22006.933594	-141.625366
